Real Average Weekly Earnings using CPI (seasonally adjusted);;;;;;;;;;Source: Monthly Wages and Salaries Survey;;;;
Date of this publication: 19 May 2026;;;;;;Date of next publication: 18 June 2026;;;;;;;;
Inquiries: Email: ;;earnings@ons.gov.uk ;;;;Tel: 01633 456120;;;;;;;;
;;;;;;;;;;;;;;
;Total pay, seasonally adjusted;;;;Regular Pay, seasonally adjusted;;;;;;;;;
01.11.2001;453;93,8;3,6;3,4;429;94,6;4,0;3,7;;;;;;
01.12.2001;453;93,8;2,3;3,2;429;94,6;3,4;3,7;;;;;;
01.01.2002;451;93,5;1,9;2,6;429;94,6;3,0;3,4;;;;;;
01.02.2002;452;93,7;1,4;1,9;433;95,4;3,7;3,3;;;;;;
01.03.2002;449;93,0;1,0;1,4;433;95,5;3,4;3,4;;;;;;
01.04.2002;456;94,4;2,3;1,6;433;95,5;2,6;3,2;;;;;;
01.05.2002;456;94,5;2,8;2,0;433;95,5;3,2;3,1;;;;;;
01.06.2002;459;95,0;2,9;2,6;436;96,0;3,9;3,3;;;;;;
01.07.2002;459;95,1;2,9;2,9;436;96,1;3,0;3,4;;;;;;
01.08.2002;458;94,8;2,1;2,6;434;95,6;2,2;3,0;;;;;;
01.09.2002;459;95,0;2,2;2,4;435;95,8;2,3;2,5;;;;;;
01.10.2002;458;94,9;1,5;1,9;435;95,9;1,8;2,1;;;;;;
01.11.2002;459;95,0;1,4;1,7;436;96,0;1,5;1,9;;;;;;
01.12.2002;458;94,8;1,0;1,3;435;95,8;1,3;1,5;;;;;;
01.01.2003;455;94,1;0,7;1,0;438;96,5;2,0;1,6;;;;;;
01.02.2003;455;94,2;0,6;0,8;439;96,6;1,3;1,5;;;;;;
01.03.2003;462;95,6;2,8;1,4;438;96,5;1,1;1,5;;;;;;
01.04.2003;462;95,6;1,2;1,5;440;97,0;1,6;1,3;;;;;;
01.05.2003;464;96,0;1,6;1,8;442;97,4;2,0;1,6;;;;;;
01.06.2003;465;96,3;1,4;1,4;443;97,7;1,8;1,8;;;;;;
01.07.2003;467;96,6;1,7;1,5;443;97,7;1,7;1,8;;;;;;
01.08.2003;467;96,7;1,9;1,7;444;97,8;2,3;1,9;;;;;;
01.09.2003;469;97,0;2,1;1,9;444;97,9;2,2;2,0;;;;;;
01.10.2003;470;97,4;2,6;2,2;445;98,0;2,2;2,2;;;;;;
01.11.2003;471;97,5;2,5;2,4;446;98,3;2,4;2,2;;;;;;
01.12.2003;471;97,4;2,8;2,7;447;98,6;2,9;2,5;;;;;;
01.01.2004;481;99,5;5,7;3,7;447;98,4;2,0;2,4;;;;;;
01.02.2004;465;96,2;2,1;3,5;447;98,5;1,9;2,3;;;;;;
01.03.2004;474;98,1;2,6;3,5;448;98,8;2,4;2,1;;;;;;
01.04.2004;475;98,4;2,9;2,5;451;99,3;2,4;2,2;;;;;;
01.05.2004;477;98,7;2,8;2,8;452;99,5;2,2;2,3;;;;;;
01.06.2004;477;98,7;2,5;2,7;452;99,6;2,0;2,2;;;;;;
01.07.2004;478;98,9;2,4;2,5;454;99,9;2,3;2,2;;;;;;
01.08.2004;481;99,5;3,0;2,6;455;100,3;2,6;2,3;;;;;;
01.09.2004;483;99,9;3,0;2,8;456;100,4;2,5;2,5;;;;;;
01.10.2004;485;100,3;3,1;3,0;457;100,7;2,7;2,6;;;;;;
01.11.2004;484;100,1;2,7;2,9;456;100,6;2,3;2,5;;;;;;
01.12.2004;484;100,2;2,8;2,9;458;101,0;2,4;2,5;;;;;;
01.01.2005;491;101,8;2,2;2,6;458;100,9;2,6;2,4;;;;;;
01.02.2005;482;99,9;3,8;3,0;458;101,0;2,6;2,5;;;;;;
01.03.2005;484;100,2;2,2;2,7;460;101,4;2,7;2,6;;;;;;
01.04.2005;488;101,0;2,6;2,9;461;101,6;2,3;2,5;;;;;;
01.05.2005;488;101,1;2,4;2,4;461;101,6;2,1;2,4;;;;;;
01.06.2005;488;101,1;2,4;2,5;462;101,9;2,2;2,2;;;;;;
01.07.2005;490;101,4;2,5;2,5;463;101,9;2,0;2,1;;;;;;
01.08.2005;494;102,2;2,7;2,5;464;102,2;1,9;2,0;;;;;;
01.09.2005;494;102,3;2,3;2,5;465;102,5;2,1;2,0;;;;;;
01.10.2005;494;102,4;2,0;2,3;465;102,4;1,8;1,9;;;;;;
01.11.2005;497;102,8;2,7;2,3;465;102,6;2,0;1,9;;;;;;
01.12.2005;496;102,7;2,5;2,4;466;102,8;1,8;1,8;;;;;;
01.01.2006;497;102,9;1,2;2,1;468;103,0;2,1;1,9;;;;;;
01.02.2006;499;103,3;3,4;2,3;468;103,2;2,2;2,0;;;;;;
01.03.2006;503;104,2;3,9;2,8;469;103,4;1,9;2,1;;;;;;
01.04.2006;499;103,2;2,3;3,2;469;103,3;1,7;2,0;;;;;;
01.05.2006;500;103,5;2,4;2,9;469;103,3;1,7;1,8;;;;;;
01.06.2006;503;104,1;3,0;2,5;470;103,5;1,6;1,7;;;;;;
01.07.2006;501;103,8;2,4;2,6;469;103,2;1,3;1,5;;;;;;
01.08.2006;500;103,5;1,3;2,2;468;103,2;0,9;1,3;;;;;;
01.09.2006;501;103,7;1,4;1,7;470;103,5;1,0;1,1;;;;;;
01.10.2006;504;104,3;1,9;1,5;472;104,1;1,6;1,2;;;;;;
01.11.2006;505;104,5;1,6;1,6;471;103,8;1,2;1,3;;;;;;
01.12.2006;510;105,5;2,7;2,1;471;103,7;1,0;1,3;;;;;;
01.01.2007;513;106,2;3,2;2,5;472;104,0;1,0;1,1;;;;;;
02.02.2007;518;107,3;3,9;3,2;474;104,4;1,1;1,0;;;;;;
01.03.2007;510;105,6;1,4;2,8;474;104,3;1,0;1,0;;;;;;
01.04.2007;506;104,8;1,6;2,3;475;104,6;1,2;1,1;;;;;;
01.05.2007;511;105,7;2,2;1,7;477;105,1;1,7;1,3;;;;;;
01.06.2007;513;106,2;2,0;1,9;478;105,3;1,8;1,6;;;;;;
01.07.2007;516;106,8;2,9;2,4;481;106,0;2,7;2,1;;;;;;
01.08.2007;517;107,1;3,5;2,8;482;106,3;3,0;2,5;;;;;;
01.09.2007;519;107,5;3,7;3,3;483;106,3;2,7;2,8;;;;;;
01.10.2007;515;106,6;2,1;3,1;481;105,9;1,7;2,5;;;;;;
02.11.2007;517;107,1;2,6;2,8;481;106,0;2,1;2,2;;;;;;
01.12.2007;515;106,6;1,0;1,9;480;105,7;1,9;1,9;;;;;;
01.01.2008;520;107,7;1,4;1,7;481;106,0;1,8;1,9;;;;;;
01.02.2008;525;108,8;1,4;1,3;482;106,2;1,8;1,8;;;;;;
01.03.2008;523;108,2;2,4;1,8;482;106,2;1,8;1,8;;;;;;
01.04.2008;515;106,7;1,8;1,9;482;106,2;1,6;1,7;;;;;;
01.05.2008;515;106,6;0,8;1,7;478;105,4;0,3;1,2;;;;;;
03.06.2008;511;105,7;-0,5;0,7;476;104,9;-0,4;0,5;;;;;;
01.07.2008;511;105,7;-1,0;-0,2;476;104,9;-1,0;-0,4;;;;;;
01.08.2008;509;105,3;-1,6;-1,0;476;104,8;-1,4;-0,9;;;;;;
01.09.2008;507;104,9;-2,4;-1,7;474;104,5;-1,7;-1,4;;;;;;
01.10.2008;510;105,6;-0,9;-1,7;477;105,1;-0,7;-1,3;;;;;;
01.11.2008;509;105,3;-1,7;-1,7;478;105,3;-0,7;-1,0;;;;;;
01.12.2008;513;106,1;-0,5;-1,0;480;105,8;0,1;-0,4;;;;;;
01.01.2009;497;103,0;-4,4;-2,2;480;105,8;-0,2;-0,3;;;;;;
01.02.2009;479;99,2;-8,8;-4,6;479;105,6;-0,5;-0,2;;;;;;
01.03.2009;504;104,4;-3,5;-5,6;478;105,4;-0,8;-0,5;;;;;;
01.04.2009;510;105,7;-1,0;-4,4;480;105,7;-0,5;-0,6;;;;;;
01.05.2009;508;105,2;-1,3;-1,9;479;105,6;0,2;-0,4;;;;;;
01.06.2009;507;104,9;-0,7;-1,0;477;105,2;0,3;0,0;;;;;;
01.07.2009;504;104,3;-1,4;-1,1;474;104,4;-0,5;0,0;;;;;;
01.08.2009;504;104,4;-0,9;-1,0;474;104,5;-0,3;-0,2;;;;;;
01.09.2009;505;104,5;-0,4;-0,9;475;104,7;0,2;-0,2;;;;;;
01.10.2009;504;104,3;-1,2;-0,8;475;104,6;-0,5;-0,2;;;;;;
01.11.2009;503;104,1;-1,2;-0,9;473;104,2;-1,0;-0,4;;;;;;
01.12.2009;503;104,1;-1,9;-1,4;473;104,2;-1,5;-1,0;;;;;;
01.01.2010;494;102,3;-0,6;-1,2;473;104,2;-1,5;-1,3;;;;;;
01.02.2010;506;104,7;5,6;0,9;472;104,0;-1,5;-1,5;;;;;;
01.03.2010;499;103,4;-1,0;1,2;472;104,0;-1,3;-1,4;;;;;;
01.04.2010;498;103,1;-2,4;0,6;469;103,4;-2,2;-1,7;;;;;;
01.05.2010;499;103,2;-1,9;-1,8;469;103,3;-2,2;-1,9;;;;;;
01.06.2010;496;102,7;-2,1;-2,1;469;103,3;-1,8;-2,1;;;;;;
01.07.2010;497;102,8;-1,4;-1,8;470;103,6;-0,8;-1,6;;;;;;
01.08.2010;497;102,9;-1,4;-1,6;470;103,5;-0,9;-1,2;;;;;;
01.09.2010;498;103,1;-1,4;-1,4;471;103,8;-0,9;-0,9;;;;;;
01.10.2010;497;102,8;-1,4;-1,4;470;103,6;-1,0;-0,9;;;;;;
01.11.2010;496;102,7;-1,3;-1,4;469;103,4;-0,8;-0,9;;;;;;
01.12.2010;494;102,3;-1,8;-1,5;466;102,6;-1,6;-1,1;;;;;;
01.01.2011;497;102,9;0,6;-0,8;465;102,4;-1,7;-1,4;;;;;;
01.02.2011;493;102,1;-2,5;-1,3;462;101,9;-2,1;-1,8;;;;;;
01.03.2011;493;102,1;-1,2;-1,1;462;101,7;-2,2;-2,0;;;;;;
01.04.2011;487;100,8;-2,2;-2,0;458;101,0;-2,3;-2,2;;;;;;
01.05.2011;488;101,0;-2,1;-1,9;459;101,2;-2,0;-2,2;;;;;;
01.06.2011;490;101,5;-1,3;-1,9;459;101,1;-2,1;-2,2;;;;;;
01.07.2011;488;101,1;-1,7;-1,7;458;100,8;-2,7;-2,3;;;;;;
01.08.2011;485;100,3;-2,5;-1,8;457;100,6;-2,8;-2,5;;;;;;
01.09.2011;483;99,9;-3,1;-2,4;456;100,4;-3,3;-2,9;;;;;;
01.10.2011;483;100,0;-2,7;-2,8;456;100,5;-3,0;-3,0;;;;;;
01.11.2011;483;100,0;-2,6;-2,8;456;100,5;-2,8;-3,0;;;;;;
01.12.2011;482;99,8;-2,4;-2,6;455;100,2;-2,3;-2,7;;;;;;
01.01.2012;481;99,6;-3,3;-2,8;453;99,8;-2,5;-2,5;;;;;;
01.02.2012;482;99,7;-2,3;-2,7;455;100,2;-1,6;-2,1;;;;;;
01.03.2012;481;99,5;-2,6;-2,7;455;100,2;-1,5;-1,9;;;;;;
01.04.2012;482;99,8;-1,0;-1,9;453;99,7;-1,3;-1,5;;;;;;
01.05.2012;483;99,9;-1,1;-1,5;455;100,2;-1,0;-1,3;;;;;;
01.06.2012;484;100,1;-1,3;-1,1;457;100,7;-0,4;-0,9;;;;;;
01.07.2012;483;100,0;-1,1;-1,1;455;100,2;-0,7;-0,7;;;;;;
01.08.2012;483;100,1;-0,3;-0,9;455;100,3;-0,3;-0,5;;;;;;
01.09.2012;480;99,4;-0,5;-0,6;453;99,7;-0,7;-0,6;;;;;;
01.10.2012;477;98,9;-1,2;-0,7;450;99,1;-1,3;-0,8;;;;;;
01.11.2012;478;98,9;-1,1;-0,9;450;99,2;-1,3;-1,1;;;;;;
01.12.2012;475;98,3;-1,5;-1,3;449;98,8;-1,4;-1,3;;;;;;
01.01.2013;474;98,1;-1,5;-1,4;446;98,2;-1,6;-1,4;;;;;;
01.02.2013;473;98,0;-1,7;-1,6;445;98,1;-2,1;-1,7;;;;;;
01.03.2013;464;96,1;-3,4;-2,2;445;98,1;-2,1;-1,9;;;;;;
01.04.2013;488;101,1;1,2;-1,3;447;98,5;-1,3;-1,8;;;;;;
01.05.2013;477;98,8;-1,1;-1,1;447;98,5;-1,7;-1,7;;;;;;
01.06.2013;475;98,3;-1,8;-0,6;447;98,5;-2,1;-1,7;;;;;;
01.07.2013;474;98,1;-2,0;-1,6;446;98,4;-1,8;-1,9;;;;;;
01.08.2013;473;97,9;-2,1;-2,0;445;98,1;-2,2;-2,0;;;;;;
01.09.2013;472;97,8;-1,6;-1,9;444;97,7;-2,0;-2,0;;;;;;
01.10.2013;472;97,7;-1,2;-1,7;444;97,9;-1,2;-1,8;;;;;;
01.11.2013;471;97,6;-1,3;-1,4;443;97,7;-1,5;-1,6;;;;;;
01.12.2013;472;97,6;-0,7;-1,1;445;98,0;-0,8;-1,2;;;;;;
01.01.2014;472;97,7;-0,4;-0,8;444;97,9;-0,3;-0,9;;;;;;
01.02.2014;475;98,3;0,3;-0,3;442;97,4;-0,7;-0,6;;;;;;
01.03.2014;464;96,0;-0,1;-0,1;441;97,2;-0,9;-0,7;;;;;;
01.04.2014;471;97,5;-3,6;-1,1;441;97,1;-1,4;-1,0;;;;;;
01.05.2014;471;97,5;-1,4;-1,7;442;97,5;-1,0;-1,1;;;;;;
01.06.2014;470;97,2;-1,1;-2,0;442;97,3;-1,2;-1,2;;;;;;
01.07.2014;468;97,0;-1,1;-1,2;442;97,4;-1,0;-1,1;;;;;;
01.08.2014;470;97,3;-0,7;-1,0;443;97,6;-0,5;-0,9;;;;;;
01.09.2014;473;97,9;0,2;-0,5;446;98,2;0,5;-0,3;;;;;;
01.10.2014;475;98,3;0,6;0,0;446;98,3;0,4;0,1;;;;;;
01.11.2014;476;98,5;0,9;0,6;447;98,4;0,7;0,5;;;;;;
01.12.2014;480;99,3;1,7;1,1;449;98,9;0,9;0,7;;;;;;
01.01.2015;477;98,8;1,1;1,3;450;99,1;1,2;0,9;;;;;;
01.02.2015;481;99,7;1,4;1,4;452;99,6;2,2;1,4;;;;;;
01.03.2015;482;99,8;4,0;2,1;453;99,9;2,8;2,1;;;;;;
01.04.2015;483;100,1;2,7;2,7;454;100,0;3,0;2,7;;;;;;
01.05.2015;483;100,0;2,6;3,1;454;100,1;2,7;2,8;;;;;;
01.06.2015;481;99,5;2,4;2,5;454;100,0;2,7;2,8;;;;;;
01.07.2015;484;100,2;3,4;2,8;454;100,1;2,8;2,7;;;;;;
01.08.2015;484;100,3;3,1;3,0;454;100,0;2,5;2,6;;;;;;
01.09.2015;483;100,1;2,2;2,9;455;100,1;1,9;2,4;;;;;;
01.10.2015;484;100,1;1,9;2,4;454;100,0;1,7;2,0;;;;;;
01.11.2015;484;100,3;1,8;2,0;455;100,3;1,9;1,9;;;;;;
01.12.2015;487;100,9;1,5;1,7;457;100,6;1,8;1,8;;;;;;
01.01.2016;489;101,2;2,5;1,9;459;101,2;2,1;1,9;;;;;;
01.02.2016;488;101,0;1,3;1,8;461;101,7;2,1;2,0;;;;;;
01.03.2016;489;101,3;1,5;1,8;461;101,6;1,7;2,0;;;;;;
01.04.2016;496;102,7;2,6;1,8;463;102,0;2,0;1,9;;;;;;
01.05.2016;493;102,1;2,1;2,1;462;101,8;1,7;1,8;;;;;;
01.06.2016;492;101,8;2,3;2,3;462;101,9;1,9;1,9;;;;;;
01.07.2016;494;102,2;2,0;2,1;462;101,7;1,6;1,7;;;;;;
01.08.2016;492;101,9;1,6;1,9;462;101,8;1,7;1,8;;;;;;
01.09.2016;491;101,7;1,6;1,7;462;101,8;1,7;1,7;;;;;;
01.10.2016;492;101,9;1,8;1,7;461;101,7;1,7;1,7;;;;;;
01.11.2016;493;102,0;1,7;1,7;462;101,9;1,6;1,7;;;;;;
01.12.2016;489;101,1;0,3;1,3;459;101,2;0,6;1,3;;;;;;
01.01.2017;488;101,0;-0,2;0,6;460;101,3;0,1;0,8;;;;;;
01.02.2017;489;101,3;0,4;0,1;459;101,1;-0,6;0,0;;;;;;
01.03.2017;490;101,5;0,2;0,1;459;101,1;-0,5;-0,3;;;;;;
01.04.2017;489;101,3;-1,3;-0,3;459;101,2;-0,8;-0,6;;;;;;
01.05.2017;489;101,3;-0,8;-0,6;460;101,3;-0,5;-0,6;;;;;;
01.06.2017;493;102,1;0,3;-0,6;460;101,3;-0,5;-0,6;;;;;;
01.07.2017;489;101,2;-1,0;-0,5;459;101,2;-0,5;-0,5;;;;;;
01.08.2017;490;101,4;-0,4;-0,4;460;101,3;-0,5;-0,5;;;;;;
01.09.2017;491;101,6;-0,1;-0,5;459;101,1;-0,7;-0,6;;;;;;
01.10.2017;489;101,3;-0,6;-0,4;459;101,1;-0,5;-0,6;;;;;;
01.11.2017;489;101,1;-0,9;-0,5;459;101,1;-0,8;-0,7;;;;;;
01.12.2017;489;101,2;0,1;-0,5;458;101,0;-0,2;-0,5;;;;;;
01.01.2018;485;100,5;-0,5;-0,4;458;100,9;-0,3;-0,5;;;;;;
01.02.2018;488;101,1;-0,2;-0,2;459;101,2;0,1;-0,2;;;;;;
01.03.2018;492;101,8;0,3;-0,2;461;101,7;0,6;0,1;;;;;;
01.04.2018;491;101,7;0,4;0,1;460;101,3;0,1;0,3;;;;;;
01.05.2018;491;101,6;0,3;0,3;461;101,5;0,2;0,3;;;;;;
01.06.2018;492;101,9;-0,2;0,2;462;101,7;0,4;0,2;;;;;;
01.07.2018;492;102,0;0,7;0,3;462;101,8;0,6;0,4;;;;;;
01.08.2018;494;102,2;0,7;0,4;463;102,0;0,7;0,6;;;;;;
01.09.2018;493;102,1;0,4;0,6;462;101,9;0,8;0,7;;;;;;
01.10.2018;497;103,0;1,7;0,9;464;102,2;1,1;0,8;;;;;;
01.11.2018;493;102,0;0,8;1,0;464;102,2;1,1;1,0;;;;;;
01.12.2018;493;102,1;0,9;1,1;464;102,2;1,2;1,1;;;;;;
01.01.2019;494;102,3;1,8;1,2;467;102,8;1,9;1,4;;;;;;
01.02.2019;495;102,5;1,3;1,3;465;102,6;1,4;1,5;;;;;;
01.03.2019;496;102,6;0,8;1,3;467;102,8;1,1;1,5;;;;;;
01.04.2019;500;103,5;1,8;1,3;468;103,2;1,8;1,5;;;;;;
01.05.2019;501;103,8;2,2;1,6;469;103,3;1,8;1,6;;;;;;
01.06.2019;502;104,0;2,0;2,0;471;103,7;2,0;1,9;;;;;;
01.07.2019;503;104,1;2,1;2,1;470;103,7;1,8;1,9;;;;;;
01.08.2019;502;103,8;1,6;1,9;471;103,7;1,7;1,8;;;;;;
01.09.2019;503;104,2;2,1;1,9;470;103,7;1,7;1,7;;;;;;
01.10.2019;502;103,9;1,0;1,6;472;103,9;1,7;1,7;;;;;;
01.11.2019;501;103,8;1,8;1,6;472;104,0;1,8;1,7;;;;;;
01.12.2019;498;103,2;1,1;1,3;472;104,0;1,8;1,8;;;;;;
01.01.2020;499;103,4;1,1;1,3;471;103,8;1,0;1,5;;;;;;
01.02.2020;498;103,1;0,6;0,9;471;103,7;1,1;1,3;;;;;;
01.03.2020;494;102,2;-0,4;0,4;471;103,8;0,9;1,0;;;;;;
01.04.2020;493;102,0;-1,4;-0,4;464;102,3;-0,9;0,4;;;;;;
01.05.2020;494;102,2;-1,5;-1,1;466;102,6;-0,7;-0,2;;;;;;
01.06.2020;492;101,9;-2,0;-1,6;467;103,0;-0,7;-0,8;;;;;;
01.07.2020;496;102,8;-1,2;-1,6;470;103,5;-0,2;-0,6;;;;;;
01.08.2020;510;105,6;1,7;-0,5;479;105,5;1,7;0,3;;;;;;
01.09.2020;513;106,2;1,9;0,8;481;106,1;2,3;1,3;;;;;;
01.10.2020;517;107,1;3,0;2,2;485;106,8;2,8;2,3;;;;;;
01.11.2020;524;108,4;4,4;3,1;490;107,9;3,7;2,9;;;;;;
01.12.2020;521;107,8;4,5;4,0;490;107,9;3,7;3,4;;;;;;
01.01.2021;517;107,1;3,6;4,2;488;107,5;3,6;3,7;;;;;;
01.02.2021;514;106,5;3,3;3,8;489;107,8;3,9;3,7;;;;;;
01.03.2021;510;105,7;3,4;3,4;490;108,1;4,2;3,9;;;;;;
01.04.2021;529;109,5;7,4;4,7;492;108,4;6,0;4,7;;;;;;
01.05.2021;529;109,5;7,2;6,0;490;108,0;5,3;5,1;;;;;;
01.06.2021;523;108,2;6,2;6,9;489;107,6;4,5;5,3;;;;;;
01.07.2021;522;108,1;5,2;6,2;488;107,6;4,0;4,6;;;;;;
01.08.2021;522;108,1;2,4;4,6;487;107,4;1,8;3,4;;;;;;
01.09.2021;521;107,9;1,6;3,0;487;107,2;1,1;2,3;;;;;;
01.10.2021;520;107,7;0,6;1,5;485;106,8;0,0;1,0;;;;;;
01.11.2021;517;107,0;-1,3;0,3;483;106,4;-1,4;-0,1;;;;;;
01.12.2021;525;108,7;0,9;0,0;483;106,4;-1,3;-0,9;;;;;;
01.01.2022;518;107,2;0,1;-0,1;484;106,6;-0,8;-1,2;;;;;;
01.02.2022;515;106,7;0,1;0,4;482;106,1;-1,6;-1,3;;;;;;
01.03.2022;524;108,5;2,7;1,0;479;105,6;-2,3;-1,6;;;;;;
01.04.2022;510;105,5;-3,7;-0,3;471;103,8;-4,2;-2,7;;;;;;
01.05.2022;506;104,8;-4,3;-1,8;473;104,1;-3,6;-3,4;;;;;;
01.06.2022;508;105,1;-2,9;-3,6;470;103,5;-3,9;-3,9;;;;;;
01.07.2022;503;104,0;-3,8;-3,6;468;103,2;-4,1;-3,8;;;;;;
01.08.2022;504;104,4;-3,5;-3,4;470;103,6;-3,5;-3,8;;;;;;
01.09.2022;501;103,7;-3,9;-3,7;469;103,3;-3,7;-3,8;;;;;;
01.10.2022;500;103,5;-4,0;-3,8;465;102,5;-4,0;-3,7;;;;;;
01.11.2022;501;103,7;-3,1;-3,7;467;102,9;-3,3;-3,7;;;;;;
01.12.2022;499;103,4;-4,9;-4,0;466;102,6;-3,6;-3,6;;;;;;
01.01.2023;500;103,6;-3,4;-3,8;467;103,0;-3,4;-3,4;;;;;;
01.02.2023;500;103,6;-2,9;-3,7;467;102,9;-3,0;-3,3;;;;;;
01.03.2023;502;104,0;-4,2;-3,5;467;102,8;-2,6;-3,0;;;;;;
01.04.2023;504;104,4;-1,1;-2,7;467;102,9;-0,9;-2,2;;;;;;
01.05.2023;503;104,2;-0,6;-2,0;469;103,2;-0,8;-1,5;;;;;;
01.06.2023;513;106,3;1,1;-0,2;470;103,5;0,0;-0,6;;;;;;
01.07.2023;509;105,3;1,2;0,6;472;104,1;0,9;0,0;;;;;;
01.08.2023;507;105,0;0,5;1,0;475;104,7;1,1;0,7;;;;;;
01.09.2023;508;105,1;1,4;1,1;473;104,3;0,9;1,0;;;;;;
01.10.2023;507;104,9;1,4;1,1;472;104,0;1,5;1,2;;;;;;
01.11.2023;509;105,4;1,7;1,5;477;105,0;2,1;1,5;;;;;;
01.12.2023;509;105,3;1,9;1,7;476;104,9;2,2;1,9;;;;;;
01.01.2024;509;105,4;1,7;1,8;476;104,9;1,8;2,1;;;;;;
01.02.2024;512;106,0;2,3;2,0;478;105,3;2,3;2,1;;;;;;
01.03.2024;516;106,9;2,8;2,3;480;105,8;2,9;2,4;;;;;;
01.04.2024;520;107,6;3,1;2,7;482;106,2;3,2;2,8;;;;;;
01.05.2024;520;107,6;3,3;3,1;484;106,7;3,3;3,2;;;;;;
01.06.2024;519;107,5;1,2;2,5;486;107,0;3,4;3,3;;;;;;
01.07.2024;520;107,6;2,1;2,2;487;107,3;3,0;3,3;;;;;;
01.08.2024;520;107,6;2,5;1,9;487;107,4;2,6;3,0;;;;;;
01.09.2024;524;108,4;3,1;2,6;489;107,8;3,3;3,0;;;;;;
01.10.2024;524;108,5;3,4;3,0;490;107,9;3,7;3,2;;;;;;
01.11.2024;523;108,2;2,7;3,1;490;108,0;2,8;3,3;;;;;;
01.12.2024;527;109,1;3,6;3,2;492;108,3;3,3;3,3;;;;;;
01.01.2025;521;107,9;2,4;2,9;490;108,0;2,9;3,0;;;;;;
01.02.2025;527;109,0;2,9;3,0;491;108,2;2,8;3,0;;;;;;
01.03.2025;529;109,4;2,4;2,6;491;108,1;2,2;2,6;;;;;;
01.04.2025;525;108,7;1,0;2,1;490;108,0;1,7;2,2;;;;;;
01.05.2025;525;108,8;1,1;1,5;492;108,4;1,6;1,8;;;;;;
01.06.2025;525;108,8;1,2;1,1;491;108,3;1,1;1,5;;;;;;
01.07.2025;525;108,7;1,1;1,1;491;108,1;0,8;1,2;;;;;;
01.08.2025;528;109,3;1,6;1,3;492;108,4;0,9;0,9;;;;;;
01.09.2025;527;109,1;0,6;1,1;493;108,6;0,8;0,8;;;;;;
01.10.2025;530;109,7;1,1;1,1;494;108,9;0,9;0,9;;;;;;
01.11.2025;529;109,6;1,3;1,0;494;108,8;0,8;0,9;;;;;;
01.12.2025;527;109,0;-0,1;0,8;494;108,8;0,5;0,7;;;;;;
01.01.2026;530;109,6;1,6;0,9;492;108,5;0,5;0,6;;;;;;
01.02.2026;531;109,9;0,8;0,8;493;108,5;0,3;0,4;;;;;;
01.03.2026;531;110,0;0,5;1,0;491;108,2;0,1;0,3;;;;;;
;;;;;;;;;;;;;;
1. These estimates of real earnings are calculated by deflating the nominal earnings estimates by the Consumer Prices Index, however our recommended measure of consumer price inflation is the Consumer Prices index including owner occupiers' housing costs (CPIH).;;;;;;;;;;;;;;
"2. Estimates of Total pay include bonuses but exclude arrears of pay; Regular pay exclude bonuses and arrears of pay.";;;;;;;;;;;;;;
3. The seasonal adjustment models for real awe are based on the full data series, from 2000 onwards ;;;;;;;;;;;;;;
